transaction_id,date,amount,currency,category,counterparty,account,description,type
TXN-10000,2023-01-01,4629.54,EUR,Salary,Acme Corp Payroll,Credit-003,Salary - TechStart GmbH,income
TXN-10029,2023-01-01,-211.73,EUR,Utilities,Electric Co,Credit-003,Utilities - Water Utility,expense
TXN-10002,2023-01-01,-1400.0,EUR,Rent,City Properties Ltd,Checking-001,Rent - City Properties Ltd,expense
TXN-10040,2023-01-01,-467.59,EUR,Investment,Brokerage Account,Checking-001,Investment - Brokerage Account,expense
TXN-10039,2023-01-01,-84.43,EUR,Insurance,SafeLife Insurance,Credit-003,Insurance - SafeLife Insurance,expense
TXN-10022,2023-01-03,-52.26,EUR,Transport,Uber,Checking-001,Transport - City Transit,expense
TXN-10027,2023-01-04,-7.22,EUR,Transport,City Transit,Savings-002,Transport - Uber,expense
TXN-10006,2023-01-05,-96.59,EUR,Groceries,Whole Foods,Checking-001,Groceries - Lidl,expense
TXN-10019,2023-01-05,-56.37,EUR,Transport,City Transit,Credit-003,Transport - Train Co,expense
TXN-10018,2023-01-07,-33.99,EUR,Transport,BP,Credit-003,Transport - BP,expense
TXN-10001,2023-01-08,1809.21,EUR,Freelance,Client A,Credit-003,Freelance - Client A,income
TXN-10033,2023-01-08,-19.54,EUR,Subscriptions,AWS,Checking-001,Subscriptions - Netflix,expense
TXN-10017,2023-01-09,-38.39,EUR,Transport,Train Co,Credit-003,Transport - Shell,expense
TXN-10032,2023-01-11,-31.33,EUR,Subscriptions,Netflix,Savings-002,Subscriptions - Adobe,expense
TXN-10013,2023-01-12,-38.72,EUR,Dining,Pizza Place,Credit-003,Dining - Restaurant XYZ,expense
TXN-10010,2023-01-12,-79.5,EUR,Dining,Restaurant XYZ,Checking-001,Dining - Cafe Central,expense
TXN-10021,2023-01-13,-33.34,EUR,Transport,City Transit,Credit-003,Transport - BP,expense
TXN-10012,2023-01-13,-65.26,EUR,Dining,Pizza Place,Checking-001,Dining - Pizza Place,expense
TXN-10015,2023-01-13,-73.25,EUR,Dining,Cafe Central,Credit-003,Dining - Pizza Place,expense
TXN-10009,2023-01-13,-132.83,EUR,Groceries,Whole Foods,Credit-003,Groceries - Carrefour,expense
TXN-10007,2023-01-13,-96.64,EUR,Groceries,Whole Foods,Credit-003,Groceries - Whole Foods,expense
TXN-10024,2023-01-13,-44.01,EUR,Transport,BP,Credit-003,Transport - Shell,expense
TXN-10004,2023-01-14,-96.74,EUR,Groceries,Carrefour,Savings-002,Groceries - Lidl,expense
TXN-10035,2023-01-16,-33.55,EUR,Entertainment,Cinema,Savings-002,Entertainment - Streaming Extra,expense
TXN-10030,2023-01-17,-26.15,EUR,Subscriptions,Spotify,Savings-002,Subscriptions - Spotify,expense
TXN-10003,2023-01-17,-65.81,EUR,Groceries,Carrefour,Checking-001,Groceries - Carrefour,expense
TXN-10038,2023-01-17,-147.64,EUR,Shopping,Zara,Checking-001,Shopping - Amazon,expense
TXN-10020,2023-01-18,-43.17,EUR,Transport,Train Co,Savings-002,Transport - Train Co,expense
TXN-10025,2023-01-18,-39.38,EUR,Transport,Uber,Credit-003,Transport - Uber,expense
TXN-10031,2023-01-18,-23.05,EUR,Subscriptions,AWS,Checking-001,Subscriptions - AWS,expense
TXN-10014,2023-01-20,-63.16,EUR,Dining,Cafe Central,Checking-001,Dining - Sushi Bar,expense
TXN-10026,2023-01-22,-44.03,EUR,Transport,Shell,Credit-003,Transport - Shell,expense
TXN-10037,2023-01-23,-587.49,EUR,Travel,Booking.com,Savings-002,Travel - Booking.com,expense
TXN-10028,2023-01-24,-35.2,EUR,Transport,Shell,Credit-003,Transport - City Transit,expense
TXN-10034,2023-01-24,-79.07,EUR,Healthcare,City Clinic,Credit-003,Healthcare - City Clinic,expense
TXN-10016,2023-01-25,-13.02,EUR,Transport,Uber,Savings-002,Transport - BP,expense
TXN-10011,2023-01-25,-56.25,EUR,Dining,Restaurant XYZ,Checking-001,Dining - Restaurant XYZ,expense
TXN-10005,2023-01-25,-71.44,EUR,Groceries,Aldi,Savings-002,Groceries - Whole Foods,expense
TXN-10008,2023-01-26,-78.95,EUR,Groceries,Aldi,Credit-003,Groceries - Lidl,expense
TXN-10023,2023-01-26,-29.36,EUR,Transport,Train Co,Checking-001,Transport - BP,expense
TXN-10036,2023-01-28,-90.27,EUR,Entertainment,Cinema,Credit-003,Entertainment - Streaming Extra,expense
TXN-10071,2023-02-01,-195.55,EUR,Utilities,Water Utility,Checking-001,Utilities - Electric Co,expense
TXN-10044,2023-02-01,-1400.0,EUR,Rent,City Properties Ltd,Checking-001,Rent - City Properties Ltd,expense
TXN-10041,2023-02-01,4422.98,EUR,Salary,TechStart GmbH,Checking-001,Salary - Acme Corp Payroll,income
TXN-10082,2023-02-01,-121.55,EUR,Insurance,SafeLife Insurance,Savings-002,Insurance - SafeLife Insurance,expense
TXN-10060,2023-02-03,-35.54,EUR,Transport,Train Co,Credit-003,Transport - Train Co,expense
TXN-10075,2023-02-03,-19.21,EUR,Subscriptions,Spotify,Credit-003,Subscriptions - Netflix,expense
TXN-10058,2023-02-03,-29.58,EUR,Transport,City Transit,Savings-002,Transport - Uber,expense
TXN-10069,2023-02-04,-29.64,EUR,Transport,Train Co,Checking-001,Transport - Shell,expense
TXN-10050,2023-02-04,-112.66,EUR,Groceries,Carrefour,Checking-001,Groceries - Lidl,expense
TXN-10077,2023-02-05,-41.57,EUR,Healthcare,Pharmacy Plus,Checking-001,Healthcare - Pharmacy Plus,expense
TXN-10048,2023-02-07,-96.98,EUR,Groceries,Tesco,Savings-002,Groceries - Tesco,expense
TXN-10065,2023-02-07,-39.49,EUR,Transport,City Transit,Savings-002,Transport - Uber,expense
TXN-10078,2023-02-08,-81.06,EUR,Entertainment,Concert Hall,Credit-003,Entertainment - Concert Hall,expense
TXN-10066,2023-02-08,-33.62,EUR,Transport,City Transit,Savings-002,Transport - Train Co,expense
TXN-10062,2023-02-08,-74.3,EUR,Transport,City Transit,Credit-003,Transport - Shell,expense
TXN-10042,2023-02-09,1612.4,EUR,Freelance,Client B,Credit-003,Freelance - Client B,income
TXN-10049,2023-02-09,-89.64,EUR,Groceries,Lidl,Savings-002,Groceries - Carrefour,expense
TXN-10068,2023-02-10,-38.3,EUR,Transport,Uber,Checking-001,Transport - Shell,expense
TXN-10070,2023-02-10,-12.83,EUR,Transport,Shell,Checking-001,Transport - Shell,expense
TXN-10055,2023-02-10,-24.93,EUR,Dining,Restaurant XYZ,Credit-003,Dining - Restaurant XYZ,expense
TXN-10061,2023-02-11,-11.53,EUR,Transport,City Transit,Credit-003,Transport - Shell,expense
TXN-10045,2023-02-12,-92.73,EUR,Groceries,Aldi,Credit-003,Groceries - Lidl,expense
TXN-10053,2023-02-13,-17.88,EUR,Dining,Sushi Bar,Savings-002,Dining - Sushi Bar,expense
TXN-10080,2023-02-14,-158.94,EUR,Travel,Booking.com,Savings-002,Travel - Airline,expense
TXN-10063,2023-02-15,-22.67,EUR,Transport,Uber,Checking-001,Transport - BP,expense
TXN-10052,2023-02-16,-64.69,EUR,Groceries,Aldi,Checking-001,Groceries - Tesco,expense
TXN-10057,2023-02-17,-57.9,EUR,Dining,Cafe Central,Checking-001,Dining - Restaurant XYZ,expense
TXN-10074,2023-02-18,-22.49,EUR,Subscriptions,AWS,Checking-001,Subscriptions - Netflix,expense
TXN-10059,2023-02-19,-11.93,EUR,Transport,Train Co,Checking-001,Transport - Train Co,expense
TXN-10079,2023-02-20,-69.83,EUR,Entertainment,Cinema,Checking-001,Entertainment - Cinema,expense
TXN-10064,2023-02-20,-33.69,EUR,Transport,Uber,Checking-001,Transport - Train Co,expense
TXN-10073,2023-02-21,-27.13,EUR,Subscriptions,Spotify,Credit-003,Subscriptions - GitHub,expense
TXN-10046,2023-02-22,-76.72,EUR,Groceries,Lidl,Checking-001,Groceries - Aldi,expense
TXN-10067,2023-02-23,-64.81,EUR,Transport,Train Co,Checking-001,Transport - Train Co,expense
TXN-10054,2023-02-23,-46.44,EUR,Dining,Sushi Bar,Checking-001,Dining - Cafe Central,expense
TXN-10056,2023-02-24,-37.77,EUR,Dining,Restaurant XYZ,Credit-003,Dining - Sushi Bar,expense
TXN-10043,2023-02-24,1572.51,EUR,Freelance,Toptal,Checking-001,Freelance - Toptal,income
TXN-10047,2023-02-24,-60.61,EUR,Groceries,Lidl,Checking-001,Groceries - Tesco,expense
TXN-10051,2023-02-25,-114.91,EUR,Groceries,Tesco,Savings-002,Groceries - Aldi,expense
TXN-10081,2023-02-26,-137.52,EUR,Shopping,IKEA,Checking-001,Shopping - IKEA,expense
TXN-10083,2023-02-27,-465.45,EUR,Investment,Brokerage Account,Checking-001,Investment - Brokerage Account,expense
TXN-10072,2023-02-27,-26.06,EUR,Subscriptions,Netflix,Savings-002,Subscriptions - Spotify,expense
TXN-10076,2023-02-27,-85.15,EUR,Healthcare,Dental Care,Checking-001,Healthcare - Pharmacy Plus,expense
TXN-10086,2023-03-01,-1400.0,EUR,Rent,City Properties Ltd,Checking-001,Rent - City Properties Ltd,expense
TXN-10084,2023-03-01,4590.59,EUR,Salary,TechStart GmbH,Savings-002,Salary - TechStart GmbH,income
TXN-10124,2023-03-01,-76.34,EUR,Insurance,SafeLife Insurance,Savings-002,Insurance - SafeLife Insurance,expense
TXN-10111,2023-03-01,-165.79,EUR,Utilities,Water Utility,Credit-003,Utilities - Water Utility,expense
TXN-10123,2023-03-01,-102.14,EUR,Insurance,SafeLife Insurance,Checking-001,Insurance - SafeLife Insurance,expense
TXN-10122,2023-03-01,-92.07,EUR,Insurance,SafeLife Insurance,Savings-002,Insurance - SafeLife Insurance,expense
TXN-10090,2023-03-02,-83.49,EUR,Groceries,Lidl,Credit-003,Groceries - Carrefour,expense
TXN-10092,2023-03-03,-89.81,EUR,Groceries,Whole Foods,Credit-003,Groceries - Whole Foods,expense
TXN-10115,2023-03-03,-31.15,EUR,Subscriptions,Adobe,Credit-003,Subscriptions - GitHub,expense
TXN-10114,2023-03-05,-20.93,EUR,Subscriptions,Spotify,Credit-003,Subscriptions - Spotify,expense
TXN-10096,2023-03-06,-22.14,EUR,Dining,Pizza Place,Savings-002,Dining - Restaurant XYZ,expense
TXN-10125,2023-03-07,-452.62,EUR,Investment,Crypto Exchange,Savings-002,Investment - Crypto Exchange,expense
TXN-10104,2023-03-08,-49.86,EUR,Transport,Uber,Checking-001,Transport - BP,expense
TXN-10105,2023-03-08,-43.49,EUR,Transport,Train Co,Savings-002,Transport - Uber,expense
TXN-10120,2023-03-08,-271.71,EUR,Travel,Hotel Group,Checking-001,Travel - Hotel Group,expense
TXN-10087,2023-03-09,-86.86,EUR,Groceries,Whole Foods,Checking-001,Groceries - Lidl,expense
TXN-10112,2023-03-09,-28.92,EUR,Subscriptions,Adobe,Checking-001,Subscriptions - Adobe,expense
TXN-10100,2023-03-10,-16.94,EUR,Dining,Pizza Place,Checking-001,Dining - Cafe Central,expense
TXN-10097,2023-03-10,-29.96,EUR,Dining,Sushi Bar,Credit-003,Dining - Pizza Place,expense
TXN-10108,2023-03-11,-58.26,EUR,Transport,BP,Credit-003,Transport - Train Co,expense
TXN-10113,2023-03-11,-26.61,EUR,Subscriptions,AWS,Checking-001,Subscriptions - Spotify,expense
TXN-10118,2023-03-12,-103.2,EUR,Entertainment,Concert Hall,Savings-002,Entertainment - Streaming Extra,expense
TXN-10109,2023-03-14,-33.97,EUR,Transport,Train Co,Savings-002,Transport - City Transit,expense
TXN-10116,2023-03-14,-106.22,EUR,Healthcare,Pharmacy Plus,Savings-002,Healthcare - Dental Care,expense
TXN-10098,2023-03-15,-29.18,EUR,Dining,Cafe Central,Credit-003,Dining - Sushi Bar,expense
TXN-10102,2023-03-16,-26.2,EUR,Transport,Uber,Savings-002,Transport - BP,expense
TXN-10089,2023-03-17,-85.66,EUR,Groceries,Carrefour,Checking-001,Groceries - Whole Foods,expense
TXN-10106,2023-03-18,-33.51,EUR,Transport,Uber,Savings-002,Transport - City Transit,expense
TXN-10095,2023-03-18,-114.22,EUR,Groceries,Aldi,Credit-003,Groceries - Aldi,expense
TXN-10088,2023-03-20,-132.97,EUR,Groceries,Whole Foods,Savings-002,Groceries - Carrefour,expense
TXN-10103,2023-03-21,-2.14,EUR,Transport,BP,Savings-002,Transport - BP,expense
TXN-10121,2023-03-22,-102.18,EUR,Shopping,Zara,Savings-002,Shopping - Zara,expense
TXN-10091,2023-03-22,-23.42,EUR,Groceries,Tesco,Savings-002,Groceries - Aldi,expense
TXN-10093,2023-03-22,-77.46,EUR,Groceries,Whole Foods,Credit-003,Groceries - Whole Foods,expense
TXN-10101,2023-03-22,-73.04,EUR,Dining,Cafe Central,Checking-001,Dining - Restaurant XYZ,expense
TXN-10094,2023-03-22,-85.87,EUR,Groceries,Aldi,Credit-003,Groceries - Whole Foods,expense
